nom,type,region,province,latitude,longitude,population
Karamama,commune,Est,Gnagna Province,12.99052,0.07603,0
Tanli,commune,Est,Province de la Kompienga,11.39988,1.26528,0
Matambina,commune,Est,Province de la Kompienga,11.41559,1.23329,0
Namounyouri,commune,Est,Province de la Kompienga,11.35658,1.1752,0
Mamba,commune,Est,Province de la Kompienga,11.34242,1.21079,0
Agbana,commune,Est,Province du Gobnangou,11.77969,1.68796,0
Djimagli,commune,Est,Province du Gobnangou,11.78824,1.67012,0
Boupiena,commune,Est,Province du Gobnangou,11.79429,1.65014,0
Yirini,commune,Est,Province du Gobnangou,11.71632,1.61386,0
Diegbala,commune,Est,Province du Gobnangou,11.79409,1.69334,0
Sougoudi,commune,Centre-Est,Province du Koulpelogo,11.70671,0.05927,0
Sakidissi,commune,Centre-Est,Province du Koulpelogo,11.69368,0.05504,0
Kisbouga,commune,Centre-Est,Province du Koulpelogo,11.69147,0.06332,0
Kohogo,commune,Centre-Est,Province du Koulpelogo,11.6979,0.06601,0
Tanziega,commune,Centre-Est,Province du Koulpelogo,11.69854,0.07296,0
Piledé,commune,Centre-Est,Province du Koulpelogo,11.69913,0.07939,0
Balboudi,commune,Centre-Est,Province du Koulpelogo,11.71496,0.0811,0
Kohogo-Peulh,commune,Centre-Est,Province du Koulpelogo,11.71638,0.0431,0
Ibbal,commune,Sahel,Province du Yagha,13.52896,0.50741,0
Ganyèla,commune,Est,Province du Gourma,12.03885,0.66326,0
Nakortougou,commune,Est,Province du Gourma,11.9704,1.116,0
Gnamanga,commune,Est,Province de la Kompienga,11.38796,1.25329,0
Secaco,commune,Boucle du Mouhoun,Province des Balé,11.90626,-2.86235,0
Pemboanga de Partiaga,commune,Est,Province du Gobnangou,12.04724,1.74111,0
Pemboanga de Namounou,commune,Est,Province du Gobnangou,12.04157,1.77907,0
Gama,commune,Est,Province du Gobnangou,12.00418,1.76512,0
Kogdangou,commune,Est,Province du Gobnangou,12.02212,1.79233,0
Ouro-Seni,commune,Est,Province du Gourma,11.99328,1.24676,0
Diaya,commune,Cascades,Province de la Comoé,9.76557,-4.41129,0
Nomsana,commune,Centre-Nord,Province du Bam,13.82685,-1.5973,0
Tomikorosso,commune,Cascades,Province de la Comoé,9.88323,-4.36249,0
Koola,commune,Sahel,Province du Séno,14.0393,-0.2885,0
Tin-Zalayanane,commune,Sahel,Oudalan,14.87721,-0.07428,0
Tikato,commune,Centre-Nord,Sandbondtenga,13.20322,-0.83038,0
Souli-Peulh,commune,Centre-Nord,Sandbondtenga,13.23436,-0.88598,0
Rakabo,commune,Centre-Nord,Sandbondtenga,13.25026,-0.9003,0
Sombouali,commune,Est,Province de la Kompienga,11.2146,0.90295,0
Tibadi,commune,Est,Province de la Kompienga,11.20652,0.75219,0
Kiryomdéni,commune,Est,Gnagna Province,12.6158,0.1489,0
Mardaga,commune,Est,Province du Gobnangou,11.88149,1.70639,0
Inawas,commune,Sahel,Oudalan,14.70124,0.05075,0
Gnafongo,commune,Hauts-Bassins,Province du Houet,10.887,-4.37725,0
Kounkounfouanou,commune,Centre-Est,Province du Koulpelogo,11.54583,0.47389,0
Moorhidini,commune,Centre-Est,Province du Koulpelogo,11.62987,0.40789,0
Pendima,commune,Centre-Est,Province du Koulpelogo,11.59409,0.46052,0
Maitagou,commune,Centre-Est,Province du Koulpelogo,11.58412,0.36375,0
Kolanga,commune,Centre-Est,Province du Koulpelogo,11.7221,0.21514,0
Tiré,commune,Centre-Est,Province du Koulpelogo,11.62931,0.16632,0
Zonguen,commune,Centre-Est,Province du Koulpelogo,11.62591,0.17812,0
Koyiwenga,commune,Centre-Est,Province du Koulpelogo,11.61969,0.20767,0
Vohogden,commune,Centre-Est,Province du Koulpelogo,11.61992,0.22799,0
Natimboun,commune,Centre-Est,Province du Koulpelogo,11.70017,0.35271,0
Koliéré,commune,Est,Province du Gourma,11.72062,0.44616,0
Paladoubé,commune,Est,Province du Gourma,11.72893,0.41057,0
